,node,betweenness,eigenvector,degree
0,Kerry,0.0,0.015881553777923496,3
1,Obama,0.10385398624888474,0.24315643435828935,33
2,Donald Trump,0.00540544796095103,0.23727468119538564,24
3,Hillary Clinton,0.0036128168792316164,0.21730247258468685,21
4,Trump,0.16671334098117288,0.3492837600603173,59
5,Ted Cruz,0.00015689317767730613,0.15850041098188147,11
6,Bernie Sanders,0.0,0.09092240670433571,5
7,Clinton,0.6391528143299517,0.43597121722176313,109
8,Cruz,0.02898688620464719,0.22476062645475972,24
9,Hillary,0.002604314281215557,0.1359855983966087,13
10,John Kasich,0.0,0.11327367991209202,7
11,Bush,0.07324568309452581,0.22873894346194396,28
12,George W. Bush,0.0,0.08752893919427471,5
13,Ronald Reagan,0.0,0.04814455410355953,2
14,Reagan,0.0,0.06717055991386447,5
15,John Kerry,0.0,0.014907865046886945,1
16,Bill Clinton,1.574555188159345e-05,0.11231458412858641,9
17,Bill,0.0,0.04163770680374412,2
18,Donald Trump’s,0.0,0.0626918037166737,3
19,John McCain,0.0,0.06192455671750634,3
20,Barack Obama,0.0,0.13178674238293842,8
21,Jeb Bush,0.001976591612869365,0.1704899002721231,14
22,Biden,0.0003254080722195979,0.08442099752543328,7
23,McConnell,0.0,0.01832729081340587,4
24,Mitch McConnell,0.0010984771801965938,0.03744621548179867,3
25,George H.W. Bush,0.0,0.014023901779183766,1
26,Rand Paul,0.0,0.08900888978216223,5
27,Ryan,0.0003227838135726657,0.10040736847924873,8
28,Paul Ryan,0.0,0.05430043497982665,3
29,Joe Biden,0.0,0.046813470453982764,3
30,Elizabeth Warren,0.0,0.026729841756857182,1
31,Marco Rubio,0.0,0.15195690116439853,10
32,Rubio,0.009860839312894108,0.21302433722427735,21
33,Corey Lewandowski,0.0,0.02141471234670235,1
34,Paul Manafort,0.0,0.02141471234670235,1
35,Mitt Romney,8.09771239624806e-05,0.0977534739059744,6
36,Romney,0.01281013113795353,0.11837990710720074,10
37,Hillary Rodham Clinton,0.0,0.026729841756857182,1
38,John Boehner,0.0,0.014907865046886945,1
39,Gingrich,0.0,0.02141471234670235,1
40,Sanders,0.0,0.026729841756857182,1
41,Hillary Clinton's,0.0,0.026729841756857182,1
42,Donald Trump's,0.0,0.04814455410355953,2
43,Hillary Clinton’s,0.0,0.04814455410355953,2
44,Stevens,0.0,0.026729841756857182,1
45,Graham,0.0,0.02141471234670235,1
46,Ben Carson,0.0,0.09615753786338402,6
47,Carson,1.574555188159345e-05,0.1166001054353422,9
48,Jeb Bush’s,0.0,0.014023901779183766,1
49,Lewandowski,0.0,0.02141471234670235,1
50,Jeb,0.0,0.0628020112981759,6
51,Chris Christie,0.0,0.08900888978216223,5
52,Brown,0.0,1.7627411768484943e-18,2
53,Johnson,0.0005699889781136828,0.08305768102220291,7
54,Debbie Wasserman Schultz,0.0,0.026729841756857182,1
55,Wasserman Schultz,0.0,0.026729841756857182,1
56,Giuliani,0.0,0.02847563446686098,3
57,Bernie,0.0,0.07436363527311518,6
58,Clintons,0.0006613131790269249,0.10062237865001068,9
59,Whitewater,0.0,0.026729841756857182,1
60,Monica Lewinsky,0.0,0.026729841756857182,1
61,Lewinsky,0.0,0.026729841756857182,1
62,Osama bin Laden,0.0,0.026729841756857182,1
63,Antonin Scalia,0.0,0.0010967902620574498,1
64,Scalia,0.013021571406077787,0.01788932706699955,5
65,Robby Mook,0.0,0.026729841756857182,1
66,Brian Fallon,0.0,0.026729841756857182,1
67,Kennedy,0.006709629529657875,0.029644060225492944,4
68,Gary Johnson,0.0,0.04814455410355953,2
69,Tim Kaine,0.0,0.04814455410355953,2
70,Kaine,0.0,0.051289006135940986,4
71,Richard Nixon,0.0,0.026729841756857182,1
72,Netanyahu,0.0,0.015881553777923493,3
73,Chelsea,0.0,0.026729841756857182,1
74,Stein,0.0,0.03182202108118389,2
75,Jill Stein,0.0,0.026729841756857182,1
76,McMullin,0.0,0.051289006135940986,4
77,McCain,0.0,0.051289006135940986,4
78,John Podesta,0.0,0.026729841756857182,1
79,Latinos,0.0,0.04814455410355953,2
80,Michelle Obama,0.0,0.04814455410355953,2
81,Donald,0.0,0.07647180633062049,4
82,Mike Pence,0.0,0.04814455410355953,2
83,Latino,0.0,0.026729841756857182,1
84,Khan,0.0,0.02141471234670235,1
85,Al Gore,0.0,0.026729841756857182,1
86,Gray,0.0,2.6284151086392523e-16,3
87,Bill Clinton's,0.0,0.026729841756857182,1
88,Vladimir Putin,0.0,0.04814455410355953,2
89,Putin,0.01265942371280113,0.06744062176628307,6
90,Christopher Stevens,0.0,0.026729841756857182,1
91,anti-Trump,0.0,0.04814455410355953,2
92,Reince Priebus,0.0,0.026729841756857182,1
93,Sidney Blumenthal,0.0,0.026729841756857182,1
94,McCarthy,0.0,0.02847563446686098,3
95,James Comey,0.0,0.026729841756857182,1
96,Bill Clinton’s,0.0,0.026729841756857182,1
97,Martin O'Malley,0.0,0.026729841756857182,1
98,Jim Webb,0.0,0.026729841756857182,1
99,Francis,0.0,1.7627411768484943e-18,2
100,Mike Huckabee,0.0,0.013780002613946797,1
101,Rick Santorum,0.0,0.013780002613946797,1
102,Davis,0.0,1.7627411768484943e-18,2
103,Common Core,0.0,0.014939856004485266,3
104,Cheryl Mills,0.0,0.026729841756857182,1
105,Manafort,0.0,0.02141471234670235,1
106,Albright,0.0,0.026729841756857182,1
107,Comey,0.0,0.026729841756857182,1
108,Huma Abedin,0.0,0.026729841756857182,1
109,Sullivan,0.0,0.026729841756857182,1
110,Abedin,3.14911037631869e-05,0.04656796440294762,6
111,Reid,0.0,0.026729841756857182,1
112,Powell,0.0,0.026729841756857182,1
113,Marco,0.0,0.02708433306465589,2
114,Williams,0.0,0.02847563446686098,3
115,Assad,0.0,0.0041346975956630975,1
116,McCullough,0.0,0.026729841756857182,1
117,Trey Gowdy,0.0,0.026729841756857182,1
118,Gowdy,0.0,0.026729841756857182,1
119,Blumenthal,0.0,0.026729841756857182,1
120,Pompeo,0.0,0.026729841756857182,1
121,Scott Walker,0.0,0.04814455410355953,2
122,Lindsey Graham,0.0,0.02141471234670235,1
